Country,Year,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Guinea,2017,3.507,3.584,3.430,1.552,0.245,0.791,0.194,0.349,0.265,0.111
Togo,2017,3.495,3.594,3.396,1.837,0.305,0.432,0.247,0.380,0.197,0.096
Rwanda,2017,3.471,3.543,3.399,0.540,0.369,0.946,0.326,0.582,0.253,0.455
Syria,2017,3.462,3.664,3.260,1.062,0.777,0.396,0.501,0.082,0.494,0.151
Tanzania,2017,3.349,3.461,3.237,0.621,0.511,1.042,0.365,0.390,0.354,0.066
Burundi,2017,2.905,3.075,2.735,1.683,0.092,0.630,0.152,0.060,0.204,0.084
Central African Republic,2017,2.693,2.865,2.521,2.066,0.000,0.000,0.019,0.271,0.281,0.057
Denmark,2016,7.526,7.592,7.460,2.739390373,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186
Switzerland,2016,7.509,7.590,7.428,2.694632053,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723
Iceland,2016,7.501,7.669,7.333,2.831373215,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416
Norway,2016,7.498,7.575,7.421,2.664645195,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896
Finland,2016,7.413,7.475,7.351,2.825964928,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783
Canada,2016,7.404,7.473,7.335,2.704854488,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997
Netherlands,2016,7.339,7.394,7.284,2.707485199,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067
New Zealand,2016,7.334,7.404,7.264,2.475531578,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779
Australia,2016,7.313,7.385,7.241,2.546504498,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561
Sweden,2016,7.291,7.355,7.227,2.547340393,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925
Israel,2016,7.267,7.335,7.199,3.310285568,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329
Austria,2016,7.119,7.193,7.045,2.69342804,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572
United States,2016,7.104,7.188,7.020,2.727815151,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056
Costa Rica,2016,7.087,7.175,6.999,3.351676702,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144
Puerto Rico,2016,7.039,7.284,6.794,3.007603168,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629
Germany,2016,6.994,7.058,6.930,2.509305954,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739
Brazil,2016,6.952,7.029,6.875,3.507328749,1.08754158,1.039377689,0.61415261,0.404254824,0.157763064,0.141658947
Belgium,2016,6.929,6.997,6.861,2.613553524,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789
Ireland,2016,6.907,6.978,6.836,2.159881592,1.483413577,1.161568046,0.814548731,0.540084302,0.449628145,0.29753685
Luxembourg,2016,6.871,6.938,6.804,2.110549927,1.69752419,1.039993048,0.845419347,0.548702359,0.275711238,0.353293061
Mexico,2016,6.778,6.876,6.680,3.559059143,1.115080833,0.714603782,0.711434186,0.377086431,0.117354617,0.183547229
Singapore,2016,6.739,6.804,6.674,1.993745804,1.645546436,0.867575824,0.947188199,0.48769936,0.327062637,0.469869375
United Kingdom,2016,6.725,6.803,6.647,2.149994373,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618
Chile,2016,6.705,6.795,6.615,2.955049753,1.216696262,0.905871034,0.818833172,0.377893388,0.315953463,0.114507757
Panama,2016,6.701,6.801,6.601,3.005592108,1.183057308,0.989121318,0.708346546,0.489274472,0.241801292,0.084229752
Argentina,2016,6.650,6.740,6.560,3.129847288,1.15136528,1.06612432,0.697112739,0.422835112,0.109889276,0.072960153
Czech Republic,2016,6.596,6.677,6.515,2.96211338,1.309153438,1.007931709,0.763755083,0.41417706,0.099286601,0.03985557
United Arab Emirates,2016,6.573,6.652,6.494,2.215071678,1.573521495,0.871136844,0.729932189,0.56214571,0.265909791,0.355612397
Uruguay,2016,6.545,6.634,6.456,2.671386957,1.181572676,1.031425357,0.721826971,0.543876708,0.180556223,0.213936999
Malta,2016,6.488,6.567,6.409,1.990321636,1.307815313,1.098792076,0.803154051,0.549941838,0.56236583,0.17554386
Colombia,2016,6.481,6.578,6.384,3.174712181,1.030316114,1.021694183,0.596591532,0.447348237,0.156259283,0.053988829
France,2016,6.478,6.559,6.397,2.474404812,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541
Thailand,2016,6.474,6.552,6.396,2.579596519,1.08929646,1.044767976,0.649153352,0.495529205,0.586960733,0.028332459
Saudi Arabia,2016,6.379,6.471,6.287,2.61481595,1.489526391,0.848290741,0.592667282,0.379041046,0.154574409,0.300076246
Taiwan,2016,6.379,6.453,6.305,2.615226507,1.397285581,0.926242232,0.795653343,0.323774934,0.254951417,0.066301078
Qatar,2016,6.375,6.572,6.178,1.582241058,1.824265599,0.879637301,0.717229843,0.566785216,0.323877066,0.480493426
Spain,2016,6.361,6.434,6.288,2.396626711,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794
Algeria,2016,6.355,6.483,6.227,3.409041882,1.052660227,0.83308512,0.618043005,0.210056841,0.070441589,0.161569893
Guatemala,2016,6.324,6.435,6.213,3.198634386,0.834544599,0.871189952,0.540386319,0.503786147,0.288083464,0.087014526
Suriname,2016,6.269,6.465,6.073,3.068519354,1.096858859,0.778662622,0.50933373,0.522341907,0.166648671,0.12692143
Kuwait,2016,6.239,6.324,6.154,2.280853748,1.617141366,0.877582967,0.635688484,0.431660771,0.159652606,0.236691728
Bahrain,2016,6.218,6.308,6.128,2.27405262,1.440244079,0.94396764,0.656957924,0.473753095,0.171470031,0.257721454
Trinidad and Tobago,2016,6.168,6.386,5.950,2.513938427,1.325716496,0.985685587,0.526080966,0.484528571,0.319347799,0.012409157
Venezuela,2016,6.084,6.195,5.973,2.974676609,1.133673549,1.033022523,0.619042635,0.198472604,0.042504366,0.083041303
Slovakia,2016,6.078,6.160,5.996,2.610646963,1.279725552,1.082675695,0.703670502,0.233906135,0.138371661,0.029473193
El Salvador,2016,6.068,6.169,5.967,3.221339464,0.87369591,0.809750974,0.59600395,0.372685879,0.088773847,0.106125608
Malaysia,2016,6.005,6.089,5.921,2.353841066,1.251420617,0.880245805,0.623655319,0.390308052,0.414735854,0.090813398
Nicaragua,2016,5.992,6.107,5.877,2.824278116,0.693838418,0.895209551,0.652131021,0.465823591,0.297732264,0.162916645
Uzbekistan,2016,5.987,6.078,5.896,2.346381187,0.735912979,1.168096423,0.50163275,0.60848254,0.343264252,0.283327252
Italy,2016,5.977,6.056,5.898,2.349183321,1.354946852,1.041667461,0.851017892,0.188266635,0.166838825,0.02555649
Ecuador,2016,5.976,6.072,5.880,2.773657322,0.973064899,0.859740674,0.686129689,0.402699977,0.100736052,0.180371672
Belize,2016,5.956,6.202,5.710,3.080386639,0.876162708,0.686545849,0.455687672,0.512311637,0.236840621,0.1077113
Japan,2016,5.921,5.992,5.850,1.805840492,1.38007319,1.060541987,0.914910614,0.467606604,0.102243334,0.189853474
Kazakhstan,2016,5.919,6.001,5.837,2.493252516,1.229428291,0.955435932,0.573857725,0.40520218,0.150109679,0.111316212
Moldova,2016,5.897,5.971,5.823,3.380071402,0.691769421,0.831317425,0.523085415,0.252024621,0.199973464,0.019030778
Russia,2016,5.856,5.923,5.789,2.591154575,1.232281923,1.052608132,0.589905679,0.326817214,0.02736127,0.035856802
Poland,2016,5.835,5.921,5.749,2.200353146,1.245846987,1.04684782,0.690581024,0.45190239,0.144434735,0.054995816
South Korea,2016,5.835,5.923,5.747,2.350147247,1.359476805,0.721935272,0.886448503,0.251680881,0.188236162,0.077156268
Bolivia,2016,5.822,5.904,5.740,2.916349411,0.79421556,0.837788463,0.469702065,0.509607852,0.216978401,0.077457048
Lithuania,2016,5.813,5.892,5.734,2.605252981,1.269200087,1.064109921,0.646744013,0.18928887,0.020247009,0.018196519
Belarus,2016,5.802,5.881,5.723,2.38581562,1.130622387,1.049929738,0.631036282,0.290910363,0.139418796,0.174569637
North Cyprus,2016,5.771,5.872,5.670,1.934473753,1.311412096,0.81825912,0.841418028,0.435961962,0.263217747,0.165783241
Slovenia,2016,5.768,5.853,5.683,1.795216084,1.29946506,1.056134582,0.791508019,0.531639218,0.257384598,0.036349814
Peru,2016,5.743,5.839,5.647,2.731174469,0.996017814,0.812553644,0.629942834,0.375016838,0.145270541,0.052919939
Turkmenistan,2016,5.658,5.736,5.580,2.214894772,1.080170751,1.038174391,0.440057486,0.374077529,0.225665107,0.284671992
Mauritius,2016,5.648,5.789,5.507,2.202233315,1.143722653,0.7569502,0.661886156,0.46144712,0.369510621,0.052029993
Libya,2016,5.615,5.824,5.406,2.393740892,1.066875935,0.950764835,0.523042977,0.406719416,0.170868352,0.103392102
Latvia,2016,5.560,5.634,5.486,2.208589554,1.217876792,0.950254142,0.639524221,0.279956311,0.174453154,0.088895261
Cyprus,2016,5.546,5.650,5.442,2.04497242,1.318565488,0.706973851,0.848804116,0.295066029,0.279059798,0.052277435
Paraguay,2016,5.538,5.623,5.453,2.160905838,0.893729806,1.111106753,0.582954884,0.46235162,0.252958059,0.073959857
Romania,2016,5.528,5.629,5.427,2.45184207,1.169700027,0.728026032,0.67602092,0.367121756,0.128893197,0.006788756
Estonia,2016,5.517,5.597,5.437,1.819848537,1.279636979,1.051626801,0.680980504,0.415114403,0.084225267,0.185190409
Jamaica,2016,5.510,5.705,5.315,2.356820822,0.893330693,0.963718593,0.5946877,0.435969591,0.222449809,0.042939641
Croatia,2016,5.488,5.574,5.402,2.524619102,1.186485887,0.608087182,0.705240667,0.239070639,0.184344918,0.040024605
Hong Kong,2016,5.458,5.554,5.362,0.926144123,1.510701537,0.870208204,0.952773213,0.480789185,0.400968164,0.316466331
Somalia,2016,5.440,5.559,5.321,3.837715149,0,0.336134076,0.114662275,0.567781329,0.272246689,0.311798036
Kosovo,2016,5.401,5.494,5.308,2.809975386,0.901451945,0.660622716,0.540003181,0.143963769,0.279919446,0.065471202
Turkey,2016,5.389,5.483,5.295,2.29074049,1.164921641,0.87717098,0.647183418,0.238888025,0.0470687,0.123479202
Indonesia,2016,5.314,5.391,5.237,2.031708479,0.951040626,0.87625128,0.493741304,0.392365605,0.565213919,0.003222997
Jordan,2016,5.303,5.419,5.187,2.201416969,0.996726453,0.862160563,0.607119262,0.360229939,0.142622128,0.132970601
Azerbaijan,2016,5.291,5.356,5.226,2.273498297,1.123732328,0.76042366,0.545036376,0.353265971,0.056396302,0.179136723
Philippines,2016,5.279,5.398,5.160,2.234841585,0.812171459,0.87877202,0.470356584,0.548538148,0.216740772,0.117567897
China,2016,5.245,5.291,5.199,2.170866013,1.027797103,0.793808103,0.735614955,0.440123588,0.049588207,0.027451765
Bhutan,2016,5.196,5.254,5.138,1.829161882,0.85269922,0.908361614,0.497591704,0.460738599,0.485455036,0.161598593
Kyrgyzstan,2016,5.185,5.267,5.103,2.281357288,0.560443997,0.954338312,0.554490626,0.402119219,0.384315312,0.047621343
Serbia,2016,5.177,5.271,5.083,2.27538991,1.034370899,0.813292861,0.645801246,0.157181978,0.20736517,0.043391395
Bosnia and Herzegovina,2016,5.163,5.263,5.063,2.484057665,0.93382591,0.643669307,0.707662225,0.095113359,0.298890561,0
Montenegro,2016,5.161,5.267,5.055,2.255313873,1.078377247,0.741729081,0.635325789,0.151106626,0.171912715,0.12721251
Dominican Republic,2016,5.155,5.273,5.037,1.696260691,1.027870893,0.994959295,0.576689005,0.522585511,0.212857142,0.12371701
Morocco,2016,5.151,5.244,5.058,2.948912144,0.840575635,0.385954618,0.594714701,0.256462544,0.040528033,0.084042557
Hungary,2016,5.145,5.234,5.056,1.954733133,1.241419196,0.9316383,0.676083803,0.197703317,0.098998934,0.044721223
Pakistan,2016,5.132,5.226,5.038,3.182858944,0.688163638,0.261352569,0.403063834,0.146219745,0.311846018,0.138804361
Lebanon,2016,5.129,5.227,5.031,2.073390722,1.122678638,0.641836703,0.761709571,0.262280792,0.236933082,0.030606575
Portugal,2016,5.123,5.216,5.030,1.530148745,1.276074409,0.943668902,0.793625772,0.447265118,0.116906412,0.015205773
Macedonia,2016,5.121,5.225,5.017,2.089467525,1.019297957,0.782356858,0.64737922,0.276682049,0.235072523,0.070470847
Vietnam,2016,5.061,5.131,4.991,1.941796303,0.740374327,0.79116708,0.661565065,0.559541166,0.250752568,0.115562074
Somaliland region,2016,5.057,5.180,4.934,2.438010931,0.255577445,0.758623481,0.331076115,0.391295016,0.514790654,0.367940843
Tunisia,2016,5.045,5.125,4.965,2.684131384,0.977238595,0.431648046,0.595766008,0.235527888,0.039361522,0.081698492
Greece,2016,5.033,5.131,4.935,2.129441738,1.248862028,0.754731655,0.800289333,0.058221195,0,0.041272469
Tajikistan,2016,4.996,5.069,4.923,2.391058683,0.488349199,0.756024659,0.531185448,0.434081018,0.259979695,0.135088935
Mongolia,2016,4.907,4.976,4.838,1.535856962,0.988527238,1.089830875,0.554693222,0.35971877,0.345385551,0.032850172
Laos,2016,4.876,5.010,4.742,2.086368084,0.680423439,0.549695015,0.382905632,0.521675408,0.43078813,0.224229053
Nigeria,2016,4.875,5.000,4.750,2.885864258,0.752163231,0.644979417,0.05107902,0.278538823,0.232186615,0.030501828
Honduras,2016,4.871,4.992,4.750,2.295514584,0.694292605,0.755958438,0.583828628,0.267550528,0.204403043,0.069061995
Iran,2016,4.813,4.923,4.703,1.998172283,1.11757791,0.38857168,0.642323375,0.225437149,0.385382473,0.055696428
Zambia,2016,4.795,4.945,4.645,2.589914799,0.612021744,0.637601912,0.235732168,0.42661646,0.17865707,0.114790618
Nepal,2016,4.793,4.888,4.698,2.326944351,0.446257055,0.696985006,0.500729203,0.370115995,0.381596237,0.070081405
Palestinian Territories,2016,4.754,4.859,4.649,2.403640032,0.670235455,0.716294169,0.568437994,0.177438766,0.111536279,0.106133856
Albania,2016,4.655,4.764,4.546,1.92815876,0.955302894,0.501627386,0.730069757,0.318660259,0.168395013,0.053009737
Bangladesh,2016,4.643,4.726,4.560,2.609042645,0.541766882,0.247490913,0.529888511,0.397775203,0.191324383,0.12583366
Sierra Leone,2016,4.635,4.765,4.505,3.014021397,0.364854157,0.628003418,0,0.306851208,0.238972127,0.081962265
Iraq,2016,4.575,4.704,4.446,1.816570044,1.07474339,0.592047036,0.510759652,0.248559147,0.195888206,0.136355549
Namibia,2016,4.574,4.774,4.374,1.921983719,0.932872117,0.703617692,0.34745428,0.486137927,0.077949628,0.103975952
Cameroon,2016,4.513,4.609,4.417,2.519798756,0.524972677,0.62541908,0.126975924,0.427361518,0.226795286,0.061263487
Ethiopia,2016,4.508,4.591,4.425,2.65613699,0.292833269,0.37931633,0.34577632,0.36702913,0.295218557,0.171699375
South Africa,2016,4.459,4.547,4.371,1.642268658,1.024164915,0.960533559,0.18610996,0.424825251,0.136563376,0.084154382
Sri Lanka,2016,4.415,4.508,4.322,0.916807175,0.973177612,0.847829461,0.620068312,0.508171797,0.469782919,0.079638049
India,2016,4.404,4.457,4.351,2.180320024,0.740358531,0.292474449,0.450911433,0.402845562,0.250284731,0.087221779
Myanmar,2016,4.395,4.463,4.327,1.506554604,0.341123313,0.699811459,0.398799539,0.426919222,0.819711149,0.202434525
Egypt,2016,4.362,4.465,4.259,1.968951225,0.953951299,0.498131216,0.521161914,0.188465044,0.12706089,0.103929445
Armenia,2016,4.360,4.454,4.266,1.978635788,0.860859156,0.624768198,0.640833914,0.14037241,0.077928573,0.036157168
Kenya,2016,4.356,4.453,4.259,1.883261204,0.522671163,0.762397349,0.301471651,0.405755043,0.413277924,0.066859066
Ukraine,2016,4.324,4.412,4.236,1.500658751,0.872869015,1.014131546,0.586279273,0.12858887,0.203627124,0.018293051
Ghana,2016,4.276,4.367,4.185,2.200197935,0.631068647,0.493525058,0.296813399,0.409732223,0.212032646,0.032602906
Congo (Kinshasa),2016,4.272,4.353,4.191,2.749241352,0.056606013,0.806764662,0.188003927,0.15601705,0.254578084,0.060748998
Georgia,2016,4.252,4.340,4.164,1.870311737,0.8379246,0.192494437,0.64034605,0.324610114,0.067858882,0.31879583
Congo (Brazzaville),2016,4.236,4.365,4.107,2.106806755,0.771092892,0.477987349,0.282115191,0.379376739,0.120770879,0.09752927
Senegal,2016,4.219,4.287,4.151,1.978607416,0.44313702,0.77415967,0.404569447,0.310557932,0.19103384,0.116809212
Bulgaria,2016,4.217,4.330,4.104,1.153767347,1.113064647,0.925417423,0.67805624,0.212191105,0.127929702,0.00615381
Mauritania,2016,4.201,4.275,4.127,1.92630291,0.613908052,0.841419697,0.286394596,0.126799494,0.226863608,0.179548815
Zimbabwe,2016,4.193,4.285,4.101,2.442697525,0.350409836,0.714784801,0.159500897,0.254289746,0.185030311,0.085816585
Malawi,2016,4.156,4.271,4.041,2.828585148,0.087093957,0.147002205,0.293644875,0.414301723,0.309678584,0.075636759
Sudan,2016,4.139,4.350,3.928,2.109946728,0.630690753,0.819282651,0.29759115,0,0.18077454,0.100387059
Gabon,2016,4.121,4.212,4.030,1.453323841,1.158508897,0.723678648,0.349404246,0.280975461,0.062437054,0.093141817
Mali,2016,4.073,4.158,3.988,2.110868931,0.312924176,0.863327265,0.163471952,0.275439262,0.210641325,0.13646628
Haiti,2016,4.028,4.163,3.893,2.371160507,0.340972722,0.295613825,0.274940819,0.120723948,0.479578078,0.144757867
Botswana,2016,3.974,4.073,3.875,0.967406034,1.094257355,0.891864955,0.347515285,0.440892041,0.124251723,0.10769476
Comoros,2016,3.956,4.052,3.860,2.256321669,0.275094002,0.603230715,0.299808353,0.154117793,0.182702526,0.184365198
Ivory Coast,2016,3.916,4.006,3.826,1.974778414,0.55506587,0.575758815,0.044759069,0.406628996,0.203382105,0.155298561
Cambodia,2016,3.907,4.016,3.798,1.31573081,0.556039333,0.537498176,0.424944222,0.588519156,0.403388411,0.080922894
Angola,2016,3.866,3.979,3.753,2.094593525,0.847309828,0.663659394,0.049912684,0.005886351,0.120707437,0.084338747
Niger,2016,3.856,3.931,3.781,2.094687462,0.1327025,0.605297446,0.261615485,0.3804079,0.209700525,0.171763912
South Sudan,2016,3.832,4.068,3.596,2.509290695,0.393936366,0.185187027,0.157813624,0.196624979,0.258987993,0.13015157
Chad,2016,3.763,3.854,3.672,2.30637455,0.422141939,0.631775618,0.038235091,0.128071576,0.186667085,0.049524732
Burkina Faso,2016,3.739,3.831,3.647,1.873191595,0.319952011,0.630537152,0.212966383,0.333697379,0.243525133,0.125326842
Uganda,2016,3.739,3.849,3.629,1.514159441,0.347185254,0.909812272,0.196249619,0.436530262,0.271018267,0.064420924
Yemen,2016,3.724,3.827,3.621,1.972949982,0.57938844,0.474931449,0.310475528,0.22869572,0.098209225,0.058922391
Madagascar,2016,3.695,3.769,3.621,2.150754929,0.279543608,0.46115467,0.371090263,0.13683778,0.220397666,0.075058505
Tanzania,2016,3.666,3.771,3.561,1.377691031,0.471546322,0.776233137,0.356999546,0.31760186,0.314717621,0.050989658
Liberia,2016,3.622,3.781,3.463,2.232842445,0.107063256,0.503526747,0.231654659,0.257483155,0.2406293,0.048521545
Guinea,2016,3.607,3.681,3.533,2.156035423,0.224151656,0.310899138,0.188288182,0.309527636,0.299137384,0.119202852
Rwanda,2016,3.515,3.586,3.444,0.96819067,0.328461111,0.615862489,0.318650216,0.543197215,0.235517174,0.505208671
Benin,2016,3.484,3.564,3.404,2.108121872,0.394992262,0.104188949,0.210283667,0.397465467,0.201800823,0.066805065
Afghanistan,2016,3.360,3.432,3.288,2.145581484,0.382265657,0.110368498,0.173436046,0.164304629,0.312679827,0.071116321
Togo,2016,3.303,3.414,3.192,2.135404587,0.281226516,0,0.248112172,0.346780658,0.175168142,0.115871899
Syria,2016,3.069,3.202,2.936,0.817891359,0.74718523,0.148658514,0.62993592,0.069124863,0.483968765,0.172329709
Burundi,2016,2.905,3.078,2.732,2.10404253,0.068309732,0.234424442,0.157467261,0.04320135,0.202902168,0.094187506
Switzerland,2015,7.586999893,,,2.517383099,1.396505475,1.349505067,0.941432297,0.665573299,0.296775281,0.419776797
Iceland,2015,7.56099987,,,2.702013016,1.30232358,1.402231097,0.947844326,0.62877208,0.436296731,0.141451374
Denmark,2015,7.52699995,,,2.492041588,1.3254776,1.360580802,0.874641359,0.649383724,0.341386229,0.483573467
Norway,2015,7.521999836,,,2.465311527,1.458996654,1.330954552,0.885209024,0.669731796,0.346989155,0.365034252
Canada,2015,7.427000046,,,2.451755524,1.326291561,1.322608113,0.905630887,0.632967591,0.458109021,0.329573005
Finland,2015,7.406000137,,,2.619551182,1.290248513,1.318263054,0.889110863,0.641693413,0.233507648,0.413717896
Netherlands,2015,7.377999783,,,2.465703487,1.32944417,1.280173063,0.892838299,0.615761518,0.476103932,0.318139434
Sweden,2015,7.363999844,,,2.371190548,1.331708074,1.289070487,0.910865664,0.659797072,0.362620056,0.438435882
New Zealand,2015,7.285999775,,,2.264252186,1.250184655,1.319674492,0.908370614,0.639377654,0.475010067,0.42921564
Australia,2015,7.28399992,,,2.266460419,1.333584189,1.309228539,0.931555867,0.651243746,0.435615838,0.356365114
Israel,2015,7.277999878,,,3.088542461,1.228570104,1.223930478,0.913868845,0.413188964,0.331718504,0.077852353
Costa Rica,2015,7.225999832,,,3.177275658,0.955781579,1.237881064,0.860273659,0.633759201,0.254965812,0.105825692
Austria,2015,7.199999809,,,2.533203125,1.337232232,1.297041297,0.890421629,0.624334812,0.330884933,0.186761677
Mexico,2015,7.186999798,,,3.602143288,1.020535111,0.914507747,0.814443886,0.481810629,0.140740216,0.213122711
United States,2015,7.118999958,,,2.510109425,1.394510031,1.247112513,0.861785233,0.546035171,0.401051521,0.15889585
Brazil,2015,6.982999802,,,3.260014057,0.981237054,1.232873082,0.697023213,0.490489632,0.145738527,0.175213084
Luxembourg,2015,6.946000099,,,1.969613075,1.563907385,1.219625235,0.91894275,0.615833998,0.280336589,0.377976954
Ireland,2015,6.940000057,,,1.97569561,1.335956335,1.36947608,0.895332873,0.617771447,0.459009469,0.287028909
Belgium,2015,6.936999798,,,2.414841175,1.307816029,1.285663605,0.896666646,0.584503233,0.222497731,0.225395665
United Arab Emirates,2015,6.901000023,,,2.247431755,1.427265525,1.125751972,0.809249043,0.641568065,0.264276534,0.385833055
United Kingdom,2015,6.867000103,,,1.969937801,1.266374469,1.285476804,0.909429491,0.596253097,0.519120455,0.320667744
Oman,2015,6.853000164,,,2.474887371,1.36011374,1.081819415,0.762760997,0.632737756,0.215419382,0.325243384
Venezuela,2015,6.809999943,,,3.191308737,1.044236779,1.255958915,0.720522463,0.429082125,0.058412541,0.110693961
Singapore,2015,6.797999859,,,1.885012627,1.521858931,1.020002007,1.025247455,0.54251641,0.311048716,0.492099643
Panama,2015,6.785999775,,,2.848477125,1.063528538,1.198503494,0.796606779,0.542103767,0.244336665,0.092699401
Germany,2015,6.75,,,2.115690708,1.327922821,1.299371243,0.891858637,0.614774346,0.282139778,0.218428358
Chile,2015,6.670000076,,,2.67584753,1.107153177,1.124465704,0.858567655,0.441320777,0.33363387,0.128691047
Qatar,2015,6.611000061,,,1.556744576,1.690415144,1.078602314,0.797332227,0.640395522,0.325731337,0.52207756
France,2015,6.574999809,,,2.211257458,1.277783275,1.260375142,0.94578594,0.550110221,0.123316333,0.206458911
Argentina,2015,6.573999882,,,2.835997105,1.053505182,1.248233318,0.787230134,0.449736476,0.11450839,0.084836572
Czech Republic,2015,6.505000114,,,2.677818537,1.1789819,1.206434488,0.844831705,0.463643372,0.106857106,0.026519712
Uruguay,2015,6.485000134,,,2.321418285,1.061663747,1.208900332,0.811603665,0.60362345,0.232399791,0.245580822
Colombia,2015,6.477000237,,,2.857372046,0.918612778,1.240184307,0.690768898,0.534660339,0.184008613,0.051198591
Thailand,2015,6.454999924,,,2.319449425,0.966903031,1.265044808,0.738497436,0.556643009,0.576304317,0.031869546
Saudi Arabia,2015,6.410999775,,,2.438715458,1.395410299,1.083925128,0.720251143,0.310480088,0.137056306,0.325243384
Spain,2015,6.328999996,,,2.123666286,1.230114579,1.31378758,0.955624521,0.459506005,0.182272777,0.063983023
Malta,2015,6.302000046,,,1.648795605,1.207400441,1.302027583,0.887212753,0.603650272,0.517516792,0.135855347
Taiwan,2015,6.297999859,,,2.323225021,1.290984154,1.076172709,0.87529695,0.397402108,0.253757298,0.081291258
Kuwait,2015,6.295000076,,,1.876338959,1.554216862,1.165935636,0.72492379,0.554992616,0.162277505,0.256091207
Suriname,2015,6.269000053,,,2.790938377,0.995341539,0.971996844,0.60819602,0.596572876,0.169908494,0.136332422
Trinidad and Tobago,2015,6.168000221,,,2.268817663,1.211834431,1.183543205,0.614832401,0.558843493,0.318435669,0.011400152
El Salvador,2015,6.130000114,,,3.034996748,0.764544249,1.025070667,0.677365124,0.403497666,0.106924668,0.117762588
Guatemala,2015,6.123000145,,,2.742553711,0.745533049,1.043561459,0.644250512,0.577329695,0.274887681,0.094720468
Uzbekistan,2015,6.002999783,,,2.237409592,0.63243705,1.340432405,0.597719133,0.658213198,0.228372797,0.308257878
Slovakia,2015,5.994999886,,,2.246385336,1.168908715,1.269987106,0.78902185,0.31751135,0.168928236,0.034308821
Japan,2015,5.986999989,,,1.684350967,1.270735621,1.257115841,0.991111696,0.496147335,0.107053436,0.180602506
South Korea,2015,5.984000206,,,2.21977663,1.24460578,0.957741916,0.9653759,0.332084715,0.185565487,0.0785693
Ecuador,2015,5.974999905,,,2.539424658,0.864022255,0.99903053,0.7907511,0.485742599,0.115408435,0.180896908
Bahrain,2015,5.960000038,,,1.737968922,1.323762059,1.216243982,0.747157454,0.454917789,0.173621356,0.305997074
Italy,2015,5.947999954,,,2.025178432,1.25113678,1.197774768,0.954460979,0.262357533,0.228231847,0.02900641
Bolivia,2015,5.889999866,,,2.823338509,0.681333244,0.978413522,0.53919673,0.574137926,0.205364034,0.087997429
Moldova,2015,5.888999939,,,3.107121944,0.594475329,1.015275598,0.618257344,0.328178942,0.209514722,0.016148983
Paraguay,2015,5.877999783,,,2.188957214,0.75984627,1.304771543,0.660979927,0.538987339,0.342397332,0.082415827
Kazakhstan,2015,5.855000019,,,2.247287273,1.122541189,1.122409105,0.643682361,0.516487658,0.118271448,0.084537387
Slovenia,2015,5.84800005,,,1.61582613,1.184977889,1.27384758,0.873371184,0.608553171,0.253281355,0.037868638
Lithuania,2015,5.833000183,,,2.446493149,1.147234201,1.257446408,0.731276929,0.213422775,0.02640711,0.010314343
Nicaragua,2015,5.828000069,,,2.324071884,0.593245685,1.141837716,0.743144393,0.554745615,0.278151244,0.193170771
Peru,2015,5.823999882,,,2.594502926,0.900189161,0.974586368,0.730165541,0.414958417,0.149819463,0.059893392
Belarus,2015,5.813000202,,,2.130903006,1.031923056,1.232885122,0.736076772,0.379377186,0.110463828,0.190902457
Poland,2015,5.790999889,,,1.86564827,1.125549793,1.279479265,0.7790308,0.531215608,0.16759184,0.042117108
Malaysia,2015,5.769999981,,,1.885408401,1.124861717,1.070231795,0.723937571,0.530239403,0.330752313,0.105006106
Croatia,2015,5.758999825,,,2.754143238,1.082538843,0.796242177,0.78805232,0.258832991,0.054439653,0.024298072
Libya,2015,5.754000187,,,2.090662479,1.131445289,1.118619323,0.703803718,0.416682094,0.182951331,0.110229723
Russia,2015,5.71600008,,,2.273941517,1.137644172,1.236168742,0.669261456,0.366788387,0.00198859,0.030049957
